     country_name     | release_year |  rating   | number_of_movies 
 Japan                |         1997 | R         |                1
 Japan                |         2002 | R         |                1
 Japan                |         2005 | R         |                1
 Japan                |         2017 | UNRATED   |                1
 Kazakhstan           |         2010 | R         |                1
 Kazakhstan           |         2011 | NOT RATED |                1
 Kuwait               |         2009 | R         |                1
 Latvia               |         2015 | TV-MA     |                1
 Malaysia             |         2000 | PG-13     |                1
 Malaysia             |         2013 | PG-13     |                1
 Mexico               |         1921 | PASSED    |                1
 Mexico               |         1962 | UNRATED   |                1
 Mexico               |         1964 | NOT RATED |                1
 Mexico               |         1965 | NOT RATED |                1
 Mexico               |         1971 | PG        |                1
 Mexico               |         1978 | NOT RATED |                1
 Mexico               |         1981 | PG        |                1
 Mexico               |         1989 | NOT RATED |                1
 Mexico               |         1991 | R         |                1
 Mexico               |         1992 | R         |                1
 Mexico               |         1994 | R         |                1
 Mexico               |         2011 | NOT RATED |                1
 Mexico               |         2012 | NOT RATED |                1
 Mexico               |         2013 | NOT RATED |                1
 Mexico               |         2014 | PG-13     |                1
 Mexico               |         2015 | UNRATED   |                1
 Mexico               |         2017 | NOT RATED |                1
 Morocco              |         2008 | NOT RATED |                1
 Netherlands          |         1959 | UNRATED   |                1
 Netherlands          |         1982 | R         |                1
 Netherlands          |         1985 | R         |                1
 Netherlands          |         1997 | R         |                1
 Netherlands          |         2000 | R         |                1
 Netherlands          |         2001 | R         |                1
 Netherlands          |         2002 | R         |                1
 Netherlands          |         2009 | R         |                1
 Netherlands          |         2010 | PG-13     |                1
 Netherlands          |         2013 | NOT RATED |                1
 Netherlands          |         2014 | UNRATED   |                1
 Netherlands          |         2015 | R         |                1
 Netherlands          |         2016 | NOT RATED |                1
 New Zealand          |         2001 | NOT RATED |                1
 New Zealand          |         2011 | NOT RATED |                1
 New Zealand          |         2012 | TV-MA     |                1
 New Zealand          |         2014 | NOT RATED |                1
 Norway               |         1971 | GP        |                1
 Norway               |         1982 | R         |                1
 Norway               |         1987 | NOT RATED |                1
 Norway               |         2003 | NOT RATED |                1
 Norway               |         2005 | UNRATED   |                1
 Norway               |         2006 | NOT RATED |                1
 Norway               |         2008 | NOT RATED |                1
 Norway               |         2009 | NOT RATED |                1
 Norway               |         2010 | PG-13     |                1
 Norway               |         2011 | R         |                1
 Norway               |         2015 | NOT RATED |                1
 Pakistan             |         1967 | UNRATED   |                1
 Peru                 |         1963 | APPROVED  |                1
 Peru                 |         1988 | R         |                1
(781 rows)

