     country_name     | release_year |  rating   | number_of_movies 
 USA                  |         1961 | UNRATED   |                7
 USA                  |         1932 | PASSED    |                7
 USA                  |         1964 | APPROVED  |                7
 USA                  |         1940 | APPROVED  |                7
 UK                   |         2002 | R         |                7
 Spain                |         2005 | R         |                7
 USA                  |         1941 | APPROVED  |                6
 UK                   |         2006 | R         |                6
 Philippines          |         2014 | NOT RATED |                6
 Australia            |         2011 | NOT RATED |                6
 France               |         2005 | R         |                6
 Japan                |         2014 | NOT RATED |                6
 USA                  |         1968 | NOT RATED |                6
 USA                  |         1963 | APPROVED  |                6
 USA                  |         1962 | NOT RATED |                6
 USA                  |         1960 | UNRATED   |                6
 Germany              |         2015 | NOT RATED |                6
 UK                   |         2009 | R         |                6
 UK                   |         2003 | R         |                5
 Spain                |         2001 | R         |                5
 Japan                |         2012 | R         |                5
 South Korea          |         2006 | NOT RATED |                5
 Russia               |         2013 | R         |                5
 UK                   |         2016 | NOT RATED |                5
 UK                   |         2015 | NOT RATED |                5
 South Korea          |         2003 | R         |                5
 Japan                |         2009 | R         |                5
 Italy                |         1988 | R         |                5
 Italy                |         1989 | R         |                5
 USA                  |         1945 | APPROVED  |                5
 Germany              |         2000 | R         |                5
 USA                  |         1935 | APPROVED  |                4
 France               |         2008 | R         |                4
 France               |         2010 | NOT RATED |                4
 South Korea          |         2004 | R         |                4
 South Korea          |         2009 | R         |                4
 South Korea          |         2010 | NOT RATED |                4
 Japan                |         2015 | NOT RATED |                4
 Canada               |         2004 | R         |                4
 Thailand             |         2006 | R         |                4
 Italy                |         1978 | NOT RATED |                4
 Turkey               |         2009 | R         |                4
 UK                   |         1972 | R         |                4
 Philippines          |         2016 | NOT RATED |                4
 Italy                |         2007 | R         |                4
 Australia            |         2010 | R         |                4
 USA                  |         1933 | PASSED    |                4
 France               |         2004 | R         |                4
 USA                  |         1942 | APPROVED  |                4
 USA                  |         1946 | APPROVED  |                4
 USA                  |         1955 | APPROVED  |                4
 USA                  |         1969 | R         |                4
 Russia               |         2008 | R         |                4
 Russia               |         2012 | R         |                4
 West Germany         |         1988 | R         |                4
 West Germany         |         1990 | R         |                4
 Netherlands          |         2011 | NOT RATED |                3
 Japan                |         2007 | R         |                3
 Japan                |         2006 | R         |                3
 Australia            |         2014 | NOT RATED |                3
 Japan                |         2004 | R         |                3
 UK                   |         1994 | R         |                3
 Japan                |         2001 | R         |                3
 Japan                |         2000 | R         |                3
 Germany              |         2010 | NOT RATED |                3
 Italy                |         1991 | UNRATED   |                3
 Italy                |         2001 | R         |                3
 Germany              |         2008 | R         |                3
 France               |         2007 | R         |                3
 Philippines          |         2013 | R         |                3
 Japan                |         1992 | R         |                3
 France               |         2006 | NOT RATED |                3
 Germany              |         2012 | R         |                3
 Australia            |         2008 | R         |                3
 Italy                |         1987 | UNRATED   |                3
 Spain                |         2008 | R         |                3
 France               |         1989 | R         |                3
 New Zealand          |         2007 | R         |                3
 Italy                |         1990 | R         |                3
