 release_year |                                                                            title                                                                             |    budget    
         1970 | Cry of the Banshee (1970)                                                                                                                                    |    500000.00
         1970 | The Bird with the Crystal Plumage (1970)                                                                                                                     |    500000.00
         1969 | Mad Doctor of Blood Island (1968)                                                                                                                            |    125000.00
         1969 | The Oblong Box (1969)                                                                                                                                        |    175000.00
         1968 | Rosemary's Baby (1968)                                                                                                                                       |   2300000.00
         1968 | The Conqueror Worm (1968)                                                                                                                                    |    175000.00
         1967 | The Fearless Vampire Killers (1967)                                                                                                                          |   2000000.00
         1967 | Wait Until Dark (1967)                                                                                                                                       |   3000000.00
         1966 | The Crawling Hand (1963)                                                                                                                                     |    100000.00
         1966 | The Ghost in the Invisible Bikini (1966)                                                                                                                     |    200000.00
         1965 | Night Tide (1961)                                                                                                                                            |     25000.00
         1965 | The Wizard of Mars (1965)                                                                                                                                    |     33000.00
         1965 | These Are the Damned (1962)                                                                                                                                  |    500000.00
         1965 | X: The Man with the X-Ray Eyes (1963)                                                                                                                        |    250000.00
         1964 | Dementia 13 (1963)                                                                                                                                           |     40000.00
         1964 | The Curse of the Living Corpse (1964)                                                                                                                        |    120000.00
         1964 | The Horror of Party Beach (1964)                                                                                                                             |    120000.00
         1964 | Violent Midnight (1963)                                                                                                                                      |     42000.00
         1963 | The Birds (1963)                                                                                                                                             |   2500000.00
         1963 | The Haunting (1963)                                                                                                                                          |   1400000.00
         1963 | What Ever Happened to Baby Jane? (1962)                                                                                                                      |    980000.00
         1962 | Carnival of Souls (1962)                                                                                                                                     |     30000.00
         1962 | Corridors of Blood (1958)                                                                                                                                    |    118800.00
         1962 | Premature Burial (1962)                                                                                                                                      |   1250000.00
         1962 | The Hideous Sun Demon (1962)                                                                                                                                 |     58500.00
         1962 | The Innocents (1961)                                                                                                                                         |    567600.00
         1962 | The Phantom of the Opera (1962)                                                                                                                              |    237600.00
         1961 | Konga (1961)                                                                                                                                                 |    500000.00
         1961 | The Mask (1961)                                                                                                                                              |    250000.00
         1960 | House of Usher (1960)                                                                                                                                        |    200000.00
         1960 | Psycho (1960)                                                                                                                                                |    806947.00
         1960 | Village of the Damned (1960)                                                                                                                                 |    200000.00
         1959 | Godzilla Raids Again (1955)                                                                                                                                  |    800000.00
         1959 | Invasion of the Animal People (1959)                                                                                                                         |     40000.00
         1959 | The Giant Gila Monster (1959)                                                                                                                                |    138000.00
         1959 | The Haunted Strangler (1958)                                                                                                                                 |     92400.00
         1958 | Fiend Without a Face (1958)                                                                                                                                  |     66000.00
         1958 | The Fly (1958)                                                                                                                                               |    700000.00
         1957 | The Incredible Shrinking Man (1957)                                                                                                                          |    750000.00
         1956 | The Bad Seed (1956)                                                                                                                                          |   1000000.00
         1955 | This Island Earth (1955)                                                                                                                                     |    800000.00
         1954 | Gog (1954)                                                                                                                                                   |    250000.00
         1953 | It Came from Outer Space (1953)                                                                                                                              |    800000.00
         1951 | Bud Abbott and Lou Costello Meet the Invisible Man (1951)                                                                                                    |    627000.00
         1951 | The Thing from Another World (1951)                                                                                                                          |   1600000.00
         1949 | Abbott and Costello Meet the Killer, Boris Karloff (1949)                                                                                                    |    686000.00
         1948 | Abbott and Costello Meet Frankenstein (1948)                                                                                                                 |    800000.00
         1948 | The Inheritance (1947)                                                                                                                                       |   1000000.00
         1945 | The Body Snatcher (1945)                                                                                                                                     |    125000.00
         1945 | The Picture of Dorian Gray (1945)                                                                                                                            |   3500000.00
         1944 | Black Magic (1944)                                                                                                                                           |     75000.00
         1943 | Phantom of the Opera (1943)                                                                                                                                  |   1500000.00
         1942 | Cat People (1942)                                                                                                                                            |    134000.00
         1941 | The Wolf Man (1941)                                                                                                                                          |    180000.00
         1940 | You'll Find Out (1940)                                                                                                                                       |    353000.00
         1939 | Charlie Chan at Treasure Island (1939)                                                                                                                       |    120000.00
         1936 | The Walking Dead (1936)                                                                                                                                      |    217000.00
         1935 | Bride of Frankenstein (1935)                                                                                                                                 |    397024.00
         1934 | The Black Cat (1934)                                                                                                                                         |     95745.00
         1933 | King Kong (1933)                                                                                                                                             |    670000.00
         1932 | Dr. Jekyll and Mr. Hyde (1931)                                                                                                                               |    535000.00
         1931 | Dracula (1931)                                                                                                                                               |    355000.00
         1927 | The Unknown (1927)                                                                                                                                           |    217000.00
         1923 | The Hunchback of Notre Dame (1923)                                                                                                                           |   1250000.00
         1921 | The Cabinet of Dr. Caligari (1920)                                                                                                                           |     18000.00
         1921 | The Penalty (1920)                                                                                                                                           |     88868.00
(913 rows)

