 release_year |                                                                            title                                                                             |    budget    
         2015 | Jonah Lives (2015)                                                                                                                                           |   3000000.00
         2015 | Kids vs Monsters (2015)                                                                                                                                      |   7600000.00
         2015 | Killbillies (2015)                                                                                                                                           |    257400.00
         2015 | Knock Knock (2015)                                                                                                                                           |   2500000.00
         2015 | Krampus (2015)                                                                                                                                               |  15000000.00
         2015 | Local God (2014)                                                                                                                                             |    550000.00
         2015 | Mansion of Blood (2015)                                                                                                                                      |    800000.00
         2015 | Ouija Summoning (2015)                                                                                                                                       |    150000.00
         2015 | Paranormal Activity: The Ghost Dimension (2015)                                                                                                              |  10000000.00
         2015 | Path (2015)                                                                                                                                                  |    150000.00
         2015 | Potato Salad (2015)                                                                                                                                          |   1170000.00
         2015 | Scouts Guide to the Zombie Apocalypse (2015)                                                                                                                 |  15000000.00
         2015 | Second Origin (2015)                                                                                                                                         |   7020000.00
         2015 | Silent Screams (2015)                                                                                                                                        |    154000.00
         2015 | Sinister 2 (2015)                                                                                                                                            |  10000000.00
         2015 | Skeleton Krew (2015)                                                                                                                                         |     13455.00
         2015 | Speak No Evil (2013)                                                                                                                                         |    150000.00
         2015 | Stung (2015)                                                                                                                                                 |   2500000.00
         2015 | Take 2: The Audition (2015)                                                                                                                                  |  10000000.00
         2015 | The Apostle (2012)                                                                                                                                           |  15000000.00
         2015 | The Cabining (2014)                                                                                                                                          |   3000000.00
         2015 | The Entity (2015)                                                                                                                                            |   3000000.00
         2015 | The Final Girls (2015)                                                                                                                                       |   4500000.00
         2015 | The Forgotten (2014)                                                                                                                                         |   1320000.00
         2015 | The Horror Network Vol. 1 (2015)                                                                                                                             |   3000000.00
         2015 | The Man in the Orange Jacket (2014)                                                                                                                          |     46800.00
         2015 | The Vatican Tapes (2015)                                                                                                                                     |   8000000.00
         2015 | The Woman in Black 2: Angel of Death (2014)                                                                                                                  |  15000000.00
         2015 | Toxin: 700 Days Left on Earth (2015)                                                                                                                         |     30000.00
         2015 | Treehouse (2014)                                                                                                                                             |   3250000.00
         2015 | Unsullied (2014)                                                                                                                                             |   1500000.00
         2015 | Villmark 2 (2015)                                                                                                                                            |   1500000.00
         2015 | When Animals Dream (2014)                                                                                                                                    |   3000000.00
         2014 | 13 Sins (2014)                                                                                                                                               |   4000000.00
         2014 | 3 Scream Queens (2014)                                                                                                                                       |   1000000.00
         2014 | 3 Wicked Witches (2014)                                                                                                                                      |   1000000.00
         2014 | 666: Kreepy Kerry (2014)                                                                                                                                     |   1000000.00
         2014 | 90210 Shark Attack (2014)                                                                                                                                    |   1000000.00
         2014 | A Haunted House 2 (2014)                                                                                                                                     |   4000000.00
         2014 | Aftershock (2012)                                                                                                                                            |   2000000.00
         2014 | Alléluia (2014)                                                                                                                                              |   3388320.00
         2014 | As Above, So Below (2014)                                                                                                                                    |   5000000.00
         2014 | Blood Shed (2014)                                                                                                                                            |   2000000.00
         2014 | Bodom (2014)                                                                                                                                                 |       350.00
         2014 | Charlie's Farm (2014)                                                                                                                                        |   3000000.00
         2014 | Cheap Thrills (2013)                                                                                                                                         |    200000.00
         2014 | Chung Cu Ma (2014)                                                                                                                                           |    500000.00
         2014 | Code Red (2013)                                                                                                                                              |   3000000.00
         2014 | Dabbe: Zehr-i Cin (2014)                                                                                                                                     |    700000.00
         2014 | Dark Touch (2013)                                                                                                                                            |   3193564.14
         2014 | Dead End (2014)                                                                                                                                              |   1000000.00
         2014 | Dead Heart (2015)                                                                                                                                            |   1000000.00
         2014 | Dead Still (2014)                                                                                                                                            |   2000000.00
         2014 | Devil's Due (2014)                                                                                                                                           |   7000000.00
         2014 | Devil's Tower (2014)                                                                                                                                         |   3000000.00
         2014 | Dogman 2: The Wrath of the Litter (2014)                                                                                                                     |   1000000.00
         2014 | Dracula Untold (2014)                                                                                                                                        |  70000000.00
         2014 | Expiration (2011)                                                                                                                                            |     70000.00
         2014 | Face of the Devil (2014)                                                                                                                                     |   3140000.00
         2014 | Flight from Hell (2014)                                                                                                                                      |  10000000.00
         2014 | Gallowwalkers (2012)                                                                                                                                         |  17000000.00
         2014 | Golpo Holeo Shotti (2014)                                                                                                                                    |    200000.00
         2014 | Hazard Jack (2014)                                                                                                                                           |   3000000.00
         2014 | Honeymoon (2014)                                                                                                                                             |   1000000.00
         2014 | Infected (2013)                                                                                                                                              |   2100000.00
         2014 | Kingdom Come (2014)                                                                                                                                          |   3000000.00
         2014 | La Petite Mort II (2014)                                                                                                                                     |    117000.00
         2014 | Love in the Time of Monsters (2014)                                                                                                                          |    500000.00
         2014 | Muska (2014)                                                                                                                                                 |    200000.00
         2014 | Nosferatu vs. Father Pipecock & Sister Funk (2014)                                                                                                           |   2000000.00
         2014 | Oculus (2013)                                                                                                                                                |   5000000.00
         2014 | Ouija (2014)                                                                                                                                                 |   5000000.00
         2014 | Paranormal Activity: The Marked Ones (2014)                                                                                                                  |   5000000.00
         2014 | Prisoners of the Sun (2013)                                                                                                                                  |  18000000.00
         2014 | Reminiscence: The Beginning (2014)                                                                                                                           |    500000.00
         2014 | Repentance (2013)                                                                                                                                            |   5000000.00
         2014 | Scarewaves (2014)                                                                                                                                            |     70000.00
         2014 | Scary Tales (2014)                                                                                                                                           |    200000.00
         2014 | Scavenger Killers (2014)                                                                                                                                     |   1000000.00
         2014 | Shame the Devil (2013)                                                                                                                                       |   3000000.00
         2014 | Socialistický Zombi Mord (2014)                                                                                                                              |     23400.00
         2014 | Something Wicked (2014)                                                                                                                                      |   3000000.00
         2014 | Sonyeogoedam (2014)                                                                                                                                          |   2000000.00
         2014 | Styria (2014)                                                                                                                                                |   3000000.00
         2014 | The Appearing (2014)                                                                                                                                         |   1000000.00
         2014 | The Babadook (2014)                                                                                                                                          |   2000000.00
         2014 | The Blue Elephant (2014)                                                                                                                                     |   3500000.00
         2014 | The Control Group (2014)                                                                                                                                     |   1000000.00
         2014 | The Damned (2013)                                                                                                                                            |   3000000.00
         2014 | The Den (2013)                                                                                                                                               |    500000.00
         2014 | The Devil's Hand (2014)                                                                                                                                      |   7000000.00
         2014 | The Hybrid (2014)                                                                                                                                            |   2800000.00
         2014 | The Last Showing (2014)                                                                                                                                      |   2000000.00
         2014 | The Lost Episode (2012)                                                                                                                                      |   1000000.00
         2014 | The Mummy Resurrected (2014)                                                                                                                                 |   3000000.00
         2014 | The Sacrament (2013)                                                                                                                                         |   4000000.00
         2014 | The Scopia Effect (2014)                                                                                                                                     |   1716000.00
         2014 | The Summoning (2014)                                                                                                                                         |    200000.00
         2014 | Therapy for a Vampire (2014)                                                                                                                                 |   7020000.00
         2014 | Tusk (2014)                                                                                                                                                  |   3000000.00
         2014 | Wolves (2014)                                                                                                                                                |  18000000.00
         2014 | [REC] 4: Apocalypse (2014)                                                                                                                                   |   3510000.00
         2013 | Aaah! Zombies!! (2007)                                                                                                                                       |   1000000.00
         2013 | Aatma (2013)                                                                                                                                                 |   2000000.00
         2013 | Absentia (2011)                                                                                                                                              |     70000.00
         2013 | Airborne (2012)                                                                                                                                              |   1200000.00
         2013 | Amy (2013)                                                                                                                                                   |   2000000.00
         2013 | Apocalypse Z (2013)                                                                                                                                          |   1000000.00
         2013 | Army of the Damned (2013)                                                                                                                                    |   1200000.00
         2013 | Beneath (2013)                                                                                                                                               |   1000000.00
         2013 | Blood Shot (2013)                                                                                                                                            |   3500000.00
         2013 | Byzantium (2012)                                                                                                                                             |  10560000.00
         2013 | Cementerio General (2013)                                                                                                                                    |    400000.00
         2013 | Comedown (2012)                                                                                                                                              |   2000000.00
         2013 | Dark Skies (2013)                                                                                                                                            |   3500000.00
         2013 | Dracula: The Impaler (2013)                                                                                                                                  |    500000.00
         2013 | Germ (2013)                                                                                                                                                  |    500000.00
         2013 | Grave Secrets (2013)                                                                                                                                         |   1000000.00
         2013 | Halley (2012)                                                                                                                                                |    500000.00
         2013 | Hansel & Gretel: Warriors of Witchcraft (2013)                                                                                                               |   1000000.00
         2013 | Holla II (2013)                                                                                                                                              |   1000000.00
         2013 | Huff (2013)                                                                                                                                                  |    500000.00
         2013 | Julia X (2011)                                                                                                                                               |   4000000.00
         2013 | Killer Holiday (2013)                                                                                                                                        |   1000000.00
         2013 | Lost Lake (2012)                                                                                                                                             |    500000.00
         2013 | Maniac (2012)                                                                                                                                                |   6000000.00
         2013 | Miss Christina (2013)                                                                                                                                        |   1287000.00
         2013 | Nurse 3D (2013)                                                                                                                                              |  10000000.00
         2013 | Only Lovers Left Alive (2013)                                                                                                                                |   7000000.00
         2013 | Raptor Ranch (2013)                                                                                                                                          |   3500000.00
