     country_name      | release_year |                                                                            title                                                                             |    budget    
 India                 |         2017 | Hind Ka Napak Ko Jawab (2017)                                                                                                                                |   5000000.00
 India                 |         2014 | Golpo Holeo Shotti (2014)                                                                                                                                    |    200000.00
 India                 |         2013 | Aatma (2013)                                                                                                                                                 |   2000000.00
 India                 |         2010 | Hisss (2010)                                                                                                                                                 |   6000000.00
 India                 |         2009 | Raaz: The Mystery Continues (2009)                                                                                                                           |   2300000.00
 India                 |         2001 | Aks (2001)                                                                                                                                                   |   2200000.00
 Indonesia             |         2017 | The Evil Within (2017)                                                                                                                                       |   6000000.00
 Indonesia             |         2011 | Claypot Curry Killers (2011)                                                                                                                                 |    300000.00
 Indonesia             |         2008 | Takut: Faces of Fear (2008)                                                                                                                                  |   1000000.00
 Ireland               |         2017 | Nails (2017)                                                                                                                                                 |   5850000.00
 Ireland               |         2016 | 24 Hours to Die (2016)                                                                                                                                       |     93600.00
 Ireland               |         2015 | Skeleton Krew (2015)                                                                                                                                         |     13455.00
 Ireland               |         2012 | Grabbers (2012)                                                                                                                                              |   5280000.00
 Ireland               |         2011 | Stake Land (2010)                                                                                                                                            |    650000.00
 Ireland               |         2006 | Isolation (2005)                                                                                                                                             |   3828000.00
 Ireland               |         2005 | Boy Eats Girl (2005)                                                                                                                                         |   5000000.00
 Ireland               |         1961 | Konga (1961)                                                                                                                                                 |    500000.00
 Israel                |         2016 | Another World (2014)                                                                                                                                         |   1000000.00
 Israel                |         2007 | The Killing Floor (2007)                                                                                                                                     |   1000000.00
 Italy                 |         2017 | House of Evil (2017)                                                                                                                                         |    500000.00
 Italy                 |         2016 | Compulsion (2016)                                                                                                                                            |   2000000.00
 Italy                 |         2016 | Almost Dead (2016)                                                                                                                                           |   2000000.00
 Italy                 |         2012 | Christmas with the Dead (2012)                                                                                                                               |   1500000.00
 Italy                 |         2011 | Giallo (2009)                                                                                                                                                |  14000000.00
 Italy                 |         2010 | Hatchet (2006)                                                                                                                                               |   1500000.00
 Italy                 |         2009 | Imago mortis (2009)                                                                                                                                          |   3700000.00
 Italy                 |         2007 | Altered (2006)                                                                                                                                               |   8000000.00
 Italy                 |         2006 | The Choke (2006)                                                                                                                                             |   1000000.00
 Italy                 |         2004 | Evilenko (2004)                                                                                                                                              |   9700000.00
 Italy                 |         2001 | Sleepless (2001)                                                                                                                                             |   4000000.00
 Italy                 |         1998 | The Phantom of the Opera (1998)                                                                                                                              |  10000000.00
 Italy                 |         1997 | The Wax Mask (1997)                                                                                                                                          |   3000000.00
 Italy                 |         1996 | The Stendhal Syndrome (1996)                                                                                                                                 |   3800000.00
 Italy                 |         1993 | Trauma (1993)                                                                                                                                                |   7000000.00
 Italy                 |         1991 | The Devil's Daughter (1991)                                                                                                                                  |   2000000.00
 Italy                 |         1990 | A Cat in the Brain (1990)                                                                                                                                    |    100000.00
 Italy                 |         1989 | The Church (1989)                                                                                                                                            |   3500000.00
 Italy                 |         1988 | The Unnamable (1988)                                                                                                                                         |    350000.00
 Italy                 |         1987 | StageFright (1987)                                                                                                                                           |   1000000.00
 Italy                 |         1980 | Cannibal Holocaust (1980)                                                                                                                                    |    100000.00
 Italy                 |         1967 | The Fearless Vampire Killers (1967)                                                                                                                          |   2000000.00
 Italy                 |         1962 | Premature Burial (1962)                                                                                                                                      |   1250000.00
 Japan                 |         2017 | The curse of the mayans (2017)                                                                                                                               |   3000000.00
 Japan                 |         2016 | Slit Mouth Woman in LA (2014)                                                                                                                                |   1000000.00
 Japan                 |         2014 | Gallowwalkers (2012)                                                                                                                                         |  17000000.00
 Japan                 |         2013 | Apocalypse Z (2013)                                                                                                                                          |   1000000.00
 Japan                 |         2012 | BloodRayne: The Third Reich (2011)                                                                                                                           |  10000000.00
 Japan                 |         2011 | Gantz: Perfect Answer (2011)                                                                                                                                 |  22000000.00
 Japan                 |         2011 | Gantz (2010)                                                                                                                                                 |  22000000.00
 Japan                 |         2010 | Eat Me! (2010)                                                                                                                                               |      8000.00
 Japan                 |         2009 | The Devil's Tomb (2009)                                                                                                                                      |  10000000.00
 Japan                 |         2007 | Kaidan (2007)                                                                                                                                                |   5000000.00
 Japan                 |         2006 | Loft (2005)                                                                                                                                                  |   2500000.00
 Japan                 |         2005 | Noroi: The Curse (2005)                                                                                                                                      |   2000000.00
 Japan                 |         2004 | The Locker (2004)                                                                                                                                            |   1000000.00
 Japan                 |         2003 | Ju-on: The Grudge (2002)                                                                                                                                     |   3500000.00
 Japan                 |         2002 | The Happiness of the Katakuris (2001)                                                                                                                        |   1500000.00
 Japan                 |         2001 | Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack (2001)                                                                                     |   9400000.00
 Japan                 |         2000 | Godzilla vs. Megaguirus (2000)                                                                                                                               |   8300000.00
 Japan                 |         1999 | Tale of the Mummy (1998)                                                                                                                                     |   8000000.00
 Japan                 |         1998 | Rasen (1998)                                                                                                                                                 |   2900000.00
