     country_name      | release_year |                                                                            title                                                                             |    budget    
 Sweden                |         1974 | Superbeast (1972)                                                                                                                                            |    275000.00
 Sweden                |         1965 | X: The Man with the X-Ray Eyes (1963)                                                                                                                        |    250000.00
 Sweden                |         1962 | The Innocents (1961)                                                                                                                                         |    567600.00
 Sweden                |         1959 | Invasion of the Animal People (1959)                                                                                                                         |     40000.00
 Switzerland           |         2017 | Black Hollow Cage (2017)                                                                                                                                     |   1755000.00
 Taiwan                |         2012 | The House of the Devil (2009)                                                                                                                                |    900000.00
 Taiwan                |         1989 | Evil Spawn (1987)                                                                                                                                            |     30000.00
 Thailand              |         2008 | Amusement (2008)                                                                                                                                             |   6000000.00
 Thailand              |         2006 | Return of the Living Dead: Necropolis (2005)                                                                                                                 |   6000000.00
 Turkey                |         2016 | Magi (2016)                                                                                                                                                  |   1100000.00
 Turkey                |         2014 | Dabbe: Zehr-i Cin (2014)                                                                                                                                     |    700000.00
 Turkey                |         2011 | Needle (2010)                                                                                                                                                |   3000000.00
 Turkey                |         2009 | Book of Blood (2009)                                                                                                                                         |   6000000.00
 Turkey                |         2008 | Semum (2008)                                                                                                                                                 |   1200000.00
 Turkey                |         2007 | Musallat (2007)                                                                                                                                              |   1500000.00
 Turkey                |         2004 | Okul (2004)                                                                                                                                                  |   1000000.00
 Turkey                |         1996 | Serpent's Lair (1995)                                                                                                                                        |   4000000.00
 UK                    |         2017 | Knights of the Damned (2017)                                                                                                                                 |   8316000.00
 UK                    |         2016 | The Lesson (2015)                                                                                                                                            |   6956400.00
 UK                    |         2015 | Howl (2015)                                                                                                                                                  |   1320000.00
 UK                    |         2014 | Devil's Tower (2014)                                                                                                                                         |   3000000.00
 UK                    |         2013 | Byzantium (2012)                                                                                                                                             |  10560000.00
 UK                    |         2012 | Piranha 3DD (2012)                                                                                                                                           |   5000000.00
 UK                    |         2011 | Red State (2011)                                                                                                                                             |   4000000.00
 UK                    |         2010 | It's a Wonderful Afterlife (2010)                                                                                                                            |  10000000.00
 UK                    |         2009 | Doghouse (2009)                                                                                                                                              |   4000000.00
 UK                    |         2008 | Funny Games (2007)                                                                                                                                           |  15000000.00
 UK                    |         2007 | White Noise 2: The Light (2007)                                                                                                                              |  10000000.00
 UK                    |         2006 | Tideland (2005)                                                                                                                                              |  19300000.00
 UK                    |         2005 | Monster Man (2003)                                                                                                                                           |   4000000.00
 UK                    |         2004 | Exorcism (2003)                                                                                                                                              |   1000000.00
 UK                    |         2003 | Octane (2003)                                                                                                                                                |  11500000.00
 UK                    |         2002 | My Little Eye (2002)                                                                                                                                         |   2640000.00
 UK                    |         2001 | Demonium (2001)                                                                                                                                              |   2200000.00
 UK                    |         2000 | Cherry Falls (2000)                                                                                                                                          |  14000000.00
 UK                    |         1999 | Shrieker (1998)                                                                                                                                              |    300000.00
 UK                    |         1995 | Witch Academy (1995)                                                                                                                                         |    140000.00
 UK                    |         1994 | Necronomicon: Book of Dead (1993)                                                                                                                            |   4000000.00
 UK                    |         1993 | Dust Devil (1992)                                                                                                                                            |   5676000.00
 UK                    |         1992 | Revenge of Billy the Kid (1992)                                                                                                                              |    158400.00
 UK                    |         1990 | Bride of Re-Animator (1989)                                                                                                                                  |   2000000.00
 UK                    |         1987 | Prison (1987)                                                                                                                                                |   1300000.00
 UK                    |         1978 | The Shout (1978)                                                                                                                                             |   6600000.00
 UK                    |         1970 | Bizarre (1970)                                                                                                                                               |     52800.00
 UK                    |         1968 | The Conqueror Worm (1968)                                                                                                                                    |    175000.00
 UK                    |         1964 | Dementia 13 (1963)                                                                                                                                           |     40000.00
 UK                    |         1962 | Corridors of Blood (1958)                                                                                                                                    |    118800.00
 UK                    |         1959 | The Giant Gila Monster (1959)                                                                                                                                |    138000.00
 UK                    |         1958 | Fiend Without a Face (1958)                                                                                                                                  |     66000.00
 UK                    |         1945 | The Body Snatcher (1945)                                                                                                                                     |    125000.00
 USA                   |         2017 | Alien: Covenant (2017)                                                                                                                                       |  97000000.00
 USA                   |         2016 | The Conjuring 2 (2016)                                                                                                                                       |  40000000.00
 USA                   |         2015 | Goosebumps (2015)                                                                                                                                            |  58000000.00
 USA                   |         2014 | Dracula Untold (2014)                                                                                                                                        |  70000000.00
 USA                   |         2013 | World War Z (2013)                                                                                                                                           | 190000000.00
 USA                   |         2012 | Dark Shadows (2012)                                                                                                                                          | 150000000.00
 USA                   |         2011 | Priest (2011)                                                                                                                                                |  60000000.00
 USA                   |         2010 | The Wolfman (2010)                                                                                                                                           | 150000000.00
 USA                   |         2009 | The Final Destination (2009)                                                                                                                                 |  40000000.00
 USA                   |         2008 | The Mummy: Tomb of the Dragon Emperor (2008)                                                                                                                 | 145000000.00
 USA                   |         2007 | I Am Legend (2007)                                                                                                                                           | 150000000.00
 USA                   |         2006 | Silent Hill (2006)                                                                                                                                           |  50000000.00
 USA                   |         2005 | Constantine (2005)                                                                                                                                           | 100000000.00
 USA                   |         2004 | Blade: Trinity (2004)                                                                                                                                        |  65000000.00
 USA                   |         2003 | The Haunted Mansion (2003)                                                                                                                                   |  90000000.00
 USA                   |         2002 | Blade II (2002)                                                                                                                                              |  54000000.00
 USA                   |         2001 | Thir13en Ghosts (2001)                                                                                                                                       |  42000000.00
 USA                   |         2000 | What Lies Beneath (2000)                                                                                                                                     | 100000000.00
 USA                   |         1999 | End of Days (1999)                                                                                                                                           | 100000000.00
 USA                   |         1999 | Sleepy Hollow (1999)                                                                                                                                         | 100000000.00
 USA                   |         1998 | Sphere (1998)                                                                                                                                                |  80000000.00
 USA                   |         1998 | Beloved (1998)                                                                                                                                               |  80000000.00
 USA                   |         1997 | Alien: Resurrection (1997)                                                                                                                                   |  75000000.00
 USA                   |         1996 | Mary Reilly (1996)                                                                                                                                           |  47000000.00
 USA                   |         1995 | Species (1995)                                                                                                                                               |  35000000.00
 USA                   |         1994 | Wolf (1994)                                                                                                                                                  |  70000000.00
 USA                   |         1993 | The Good Son (1993)                                                                                                                                          |  17000000.00
 USA                   |         1992 | Death Becomes Her (1992)                                                                                                                                     |  55000000.00
 USA                   |         1991 | Child's Play 3 (1991)                                                                                                                                        |  13000000.00
 USA                   |         1990 | Gremlins 2: The New Batch (1990)                                                                                                                             |  50000000.00
 USA                   |         1989 | Leviathan (1989)                                                                                                                                             |  25000000.00
 USA                   |         1988 | The Blob (1988)                                                                                                                                              |  19000000.00
 USA                   |         1987 | Jaws: The Revenge (1987)                                                                                                                                     |  23000000.00
 USA                   |         1986 | Poltergeist II: The Other Side (1986)                                                                                                                        |  19000000.00
 USA                   |         1985 | The Black Cauldron (1985)                                                                                                                                    |  44000000.00
 USA                   |         1984 | Firestarter (1984)                                                                                                                                           |  15000000.00
 USA                   |         1983 | Jaws 3-D (1983)                                                                                                                                              |  20500000.00
 USA                   |         1982 | Cat People (1982)                                                                                                                                            |  18000000.00
 USA                   |         1981 | Wolfen (1981)                                                                                                                                                |  17000000.00
 USA                   |         1980 | The Island (1980)                                                                                                                                            |  22000000.00
 USA                   |         1979 | Dracula (1979)                                                                                                                                               |  12164000.00
 USA                   |         1978 | The Swarm (1978)                                                                                                                                             |  21000000.00
 USA                   |         1977 | Exorcist II: The Heretic (1977)                                                                                                                              |  14000000.00
 USA                   |         1976 | King Kong (1976)                                                                                                                                             |  24000000.00
 USA                   |         1975 | Poor Pretty Eddie (1975)                                                                                                                                     |   1100000.00
 USA                   |         1974 | Don't Look Now (1973)                                                                                                                                        |   1500000.00
 USA                   |         1973 | The Exorcist (1973)                                                                                                                                          |  12000000.00
 USA                   |         1972 | The Possession of Joel Delaney (1972)                                                                                                                        |   1300000.00
 USA                   |         1971 | The Cat o' Nine Tails (1971)                                                                                                                                 |   1000000.00
 USA                   |         1970 | The Bird with the Crystal Plumage (1970)                                                                                                                     |    500000.00
 USA                   |         1970 | Cry of the Banshee (1970)                                                                                                                                    |    500000.00
 USA                   |         1969 | The Oblong Box (1969)                                                                                                                                        |    175000.00
 USA                   |         1968 | Rosemary's Baby (1968)                                                                                                                                       |   2300000.00
 USA                   |         1967 | Wait Until Dark (1967)                                                                                                                                       |   3000000.00
 USA                   |         1966 | The Ghost in the Invisible Bikini (1966)                                                                                                                     |    200000.00
 USA                   |         1965 | These Are the Damned (1962)                                                                                                                                  |    500000.00
 USA                   |         1964 | The Curse of the Living Corpse (1964)                                                                                                                        |    120000.00
 USA                   |         1964 | The Horror of Party Beach (1964)                                                                                                                             |    120000.00
 USA                   |         1963 | The Birds (1963)                                                                                                                                             |   2500000.00
 USA                   |         1962 | The Phantom of the Opera (1962)                                                                                                                              |    237600.00
 USA                   |         1961 | The Mask (1961)                                                                                                                                              |    250000.00
 USA                   |         1960 | Psycho (1960)                                                                                                                                                |    806947.00
 USA                   |         1959 | Godzilla Raids Again (1955)                                                                                                                                  |    800000.00
 USA                   |         1958 | The Fly (1958)                                                                                                                                               |    700000.00
 USA                   |         1957 | The Incredible Shrinking Man (1957)                                                                                                                          |    750000.00
 USA                   |         1956 | The Bad Seed (1956)                                                                                                                                          |   1000000.00
 USA                   |         1955 | This Island Earth (1955)                                                                                                                                     |    800000.00
 USA                   |         1954 | Gog (1954)                                                                                                                                                   |    250000.00
 USA                   |         1953 | It Came from Outer Space (1953)                                                                                                                              |    800000.00
 USA                   |         1951 | Bud Abbott and Lou Costello Meet the Invisible Man (1951)                                                                                                    |    627000.00
 USA                   |         1949 | Abbott and Costello Meet the Killer, Boris Karloff (1949)                                                                                                    |    686000.00
 USA                   |         1948 | Abbott and Costello Meet Frankenstein (1948)                                                                                                                 |    800000.00
 USA                   |         1945 | The Picture of Dorian Gray (1945)                                                                                                                            |   3500000.00
 USA                   |         1944 | Black Magic (1944)                                                                                                                                           |     75000.00
 USA                   |         1943 | Phantom of the Opera (1943)                                                                                                                                  |   1500000.00
 USA                   |         1942 | Cat People (1942)                                                                                                                                            |    134000.00
 USA                   |         1941 | The Wolf Man (1941)                                                                                                                                          |    180000.00
 USA                   |         1940 | You'll Find Out (1940)                                                                                                                                       |    353000.00
 USA                   |         1939 | Charlie Chan at Treasure Island (1939)                                                                                                                       |    120000.00
 USA                   |         1936 | The Walking Dead (1936)                                                                                                                                      |    217000.00
 USA                   |         1935 | Bride of Frankenstein (1935)                                                                                                                                 |    397024.00
 USA                   |         1934 | The Black Cat (1934)                                                                                                                                         |     95745.00
 USA                   |         1933 | King Kong (1933)                                                                                                                                             |    670000.00
 USA                   |         1932 | Dr. Jekyll and Mr. Hyde (1931)                                                                                                                               |    535000.00
 USA                   |         1931 | Dracula (1931)                                                                                                                                               |    355000.00
 USA                   |         1927 | The Unknown (1927)                                                                                                                                           |    217000.00
 USA                   |         1923 | The Hunchback of Notre Dame (1923)                                                                                                                           |   1250000.00
 USA                   |         1921 | The Cabinet of Dr. Caligari (1920)                                                                                                                           |     18000.00
 United Arab Emirates  |         2009 | It's Alive (2008)                                                                                                                                            |  10000000.00
 Uruguay               |         2017 | Ojos de madera (2017)                                                                                                                                        |    395000.00
 Uruguay               |         2015 | Local God (2014)                                                                                                                                             |    550000.00
 Uruguay               |         2011 | The Silent House (2010)                                                                                                                                      |      6000.00
 Venezuela             |         2013 | The House at the End of Time (2013)                                                                                                                          |    300000.00
 Vietnam               |         2014 | Chung Cu Ma (2014)                                                                                                                                           |    500000.00
 West Germany          |         1990 | The Rift (1990)                                                                                                                                              |   1300000.00
 West Germany          |         1989 | Violent Shit (1989)                                                                                                                                          |      2000.00
 West Germany          |         1988 | Dream Demon (1988)                                                                                                                                           |   3960000.00
 West Germany          |         1986 | The Supernaturals (1986)                                                                                                                                     |   3000000.00
 West Germany          |         1985 | The Strangeness (1985)                                                                                                                                       |     25000.00
 West Germany          |         1977 | The Sentinel (1977)                                                                                                                                          |   3700000.00
 West Germany          |         1972 | The Corpse Grinders (1971)                                                                                                                                   |     47000.00
(501 rows)

